38b775bdb0c1a007431ebf4bab517f19d650bc269b9957bf7a165b94ab07289f,7e9a6af2ef762395317d0ed9f2a2039d7ce32bf7a00cdd1c62cb644177b3f13e,dbaa41e4dc06c30f4930cd5075bbbda4ea039a6eb7f9347c241ae410678b3815,0c5b7ee47d64ff46110f2f1264107393b6607f5dae9b40302f0f7a301b621bca,c0e83c44a240f7577b23dfb628771b90ad738d17c134dbcbbfd5def881138040,7c3e34b2e95937700919b65fd39c0b0a46fdc6419e307cb8e8e28ffbeca9b460,e9f13b0f4987723b40ba547fdf3e38d1d9e1707a5e57cb434cb927f73b1aca59
"200","100","150","50","250","1","1004"
"320","160","240","80","400","2","1004"
"200","100","150","50","250","3","1004"
"200","100","150","50","250","5","1004"
"320","160","240","80","400","6","1004"
"2","1","1","1","3","12","1004"
"200","100","150","50","250","1","1005"
"200","100","150","50","250","3","1005"
"320","160","240","80","400","4","1005"
"200","100","150","50","250","5","1005"
"320","160","240","80","400","7","1005"
"2","1","1","1","3","13","1005"
"100","50","75","25","125","1","1010"
"160","80","120","40","200","2","1010"
"100","50","75","25","125","3","1010"
"100","50","75","25","125","5","1010"
"160","80","120","40","200","6","1010"
"100","50","75","25","125","1","1011"
"100","50","75","25","125","3","1011"
"160","80","120","40","200","4","1011"
"100","50","75","25","125","5","1011"
"160","80","120","40","200","7","1011"
"400","200","300","100","500","1","1006"
"200","100","150","50","250","2","1006"
"400","200","300","100","500","3","1006"
"400","200","300","100","500","5","1006"
"200","100","150","50","250","6","1006"
"2","1","1","1","3","12","1006"
"400","200","300","100","500","1","1007"
"400","200","300","100","500","3","1007"
"200","100","150","50","250","4","1007"
"400","200","300","100","500","5","1007"
"200","100","150","50","250","7","1007"
"2","1","1","1","3","13","1007"